is_player,ai_controlled,driver_name,team,race_number,lap,lap_time_s,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,num_pit_stops,pit_stop_time_ms,lap_invalid,grid_position,stint,speed_kmh,throttle,steer,brake,gear,rpm,drs,brake_temp_rl,brake_temp_rr,brake_temp_fl,brake_temp_fr,tyre_surf_rl,tyre_surf_rr,tyre_surf_fl,tyre_surf_fr,tyre_inner_rl,tyre_inner_rr,tyre_inner_fl,tyre_inner_fr,engine_temp,tyre_press_rl,tyre_press_rr,tyre_press_fl,tyre_press_fr,weather,track_temp_c,air_temp_c,total_laps,track_length_m,safety_car,fuel_in_tank,fuel_remaining_laps,actual_compound,visual_compound,tyres_age_laps,ers_store_energy,ers_deploy_mode,ers_deployed,tyre_wear_rl,tyre_wear_rr,tyre_wear_fl,tyre_wear_fr,tyre_dmg_rl,tyre_dmg_rr,tyre_dmg_fl,tyre_dmg_fr,front_wing_l,front_wing_r,rear_wing,gearbox_damage,car_idx
False,True,M1skycc,team=41,24,28,91.848,91848,32471,19568,39809,8,2,0,0,14,5,293,1.0,0.001,0.0,8,10451,0,374,375,418,420,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,50184,Unknown,64.939,7.26,Medium,Medium,15,2768529.2,1,2178825.8,0.0,0.0,0.0,18.7,149,110,132,65,18,16,11,0,12
False,True,James,team=41,11,28,91.656,91656,32171,19618,39867,9,1,0,0,18,3,284,1.0,-0.0,0.0,7,11383,0,366,367,410,412,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,49672,Unknown,65.182,7.4,Medium,Medium,6,3742563.2,1,1552716.0,0.0,0.0,0.0,0.0,104,241,64,224,65,89,64,0,15
False,True,DJ Jörssi™,team=41,2,28,92.866,92866,33559,19551,39756,10,2,0,0,16,5,284,1.0,0.001,0.0,7,11377,0,363,364,406,409,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,48648,Unknown,65.084,7.35,Medium,Medium,2,3759261.0,1,1524951.8,0.0,0.0,0.0,100.0,64,42,186,42,63,3,2,0,13
False,True,dave,team=41,29,28,92.235,92235,32886,19616,39733,11,3,0,0,17,6,284,1.0,-0.002,0.0,7,11365,0,365,366,408,411,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,40456,Unknown,63.428,6.4,Medium,Medium,5,3757753.8,1,1517806.0,0.0,0.0,0.0,0.0,123,0,207,64,30,251,59,0,16
False,True,pedrogabrielbarbosa,team=41,2,29,91.227,91227,31579,19596,40052,1,1,0,0,2,3,295,1.0,-0.008,0.0,8,10552,1,368,368,416,418,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,49672,Unknown,62.5,6.86,Medium,Medium,11,3716269.5,1,1522491.9,15.67,13.87,10.19,7.45,15,13,10,7,0,0,0,0,0
False,True,ingo,team=41,8,29,90.597,90597,32501,19154,38942,2,1,0,0,4,3,285,1.0,-0.002,0.0,7,11435,0,369,370,414,416,80,80,80,80,80,80,80,80,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,49160,Unknown,61.034,6.02,Soft,Soft,11,3643163.2,1,1913703.8,0.0,1.03,0.0,0.0,23,65,20,18,0,0,0,0,2
False,True,JackWasAlive,team=41,2,29,92.969,92969,33500,19526,39943,3,1,0,0,3,3,295,1.0,-0.001,0.0,8,10528,1,361,361,409,411,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,48392,Unknown,62.649,6.95,Medium,Medium,13,3741640.0,1,1357458.1,0.0,100.0,0.0,0.0,65,17,15,11,0,0,0,0,1
False,True,hester,team=41,24,29,91.324,91324,31935,19414,39975,4,1,0,0,8,3,284,1.0,0.001,0.0,7,11377,0,368,369,412,415,90,90,90,90,90,90,90,90,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,41736,Unknown,60.999,6.0,Hard,Hard,8,3730003.8,1,1620655.6,0.0,0.0,0.0,100.0,178,64,162,179,0,0,0,0,6
False,True,NyanNyagi,team=41,2,29,92.135,92135,32275,19772,40088,5,2,0,0,6,5,285,1.0,-0.001,0.0,7,11430,0,346,347,392,392,80,80,80,80,80,80,80,80,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,33800,Unknown,60.269,5.58,Soft,Soft,11,3711505.8,1,1628518.4,0.0,19.82,17.62,13.27,215,32,27,65,0,0,0,0,4
False,True,sakamuni2,team=41,2,29,91.076,91076,31999,19439,39638,6,1,0,0,12,3,284,1.0,0.001,0.0,7,11366,0,370,371,414,416,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Light Cloud,29,20,58,30728,Unknown,63.243,7.29,Medium,Medium,21,3776468.5,1,1608294.6,0.0,0.0,0.0,100.0,186,65,178,56,15,11,0,0,10
